,country,fully_vaxed,%_fully_vaxed,covid_cases,gdp_rank,gdp,region,population,covid%
68,Fiji,579724.0,64.21,52474.0,152.0,5671000000.0,Oceania,902856.252920106,5.811999399714346
69,Finland,4028585.0,72.61,180878.0,44.0,289243000000.0,Europe,5548250.929624019,3.260090473454078
70,France,47022392.0,69.6,7619656.0,7.0,2876050000000.0,Europe,67560908.04597701,11.278202470006205
72,Gabon,111626.0,4.9,37223.0,119.0,17893000000.0,Africa,2278081.6326530613,1.6339625176930106
73,Gambia,222890.0,8.96,9989.0,170.0,1870000000.0,Africa,2487611.607142857,0.40154982278253853
74,Georgia,995303.0,25.01,826714.0,118.0,18888000000.0,Asia,3979620.1519392245,20.77369116741334
75,Germany,56956469.0,67.89,5670253.0,4.0,4157120000000.0,Europe,83895226.1010458,6.7587314124055
76,Ghana,842225.0,2.65,130920.0,72.0,72264000000.0,Africa,31782075.471698113,0.4119303036599483
78,Greece,6581445.0,63.46,908222.0,51.0,230500000000.0,Europe,10371013.236684525,8.757312128263626
80,Grenada,33603.0,29.73,5880.0,176.0,1330000000.0,North America,113027.24520686176,5.202285510222302
81,Guatemala,4008917.0,21.97,616554.0,68.0,87629000000.0,North America,18247232.58989531,3.3788904534566315
83,Guinea,800939.0,5.93,30751.0,132.0,13603000000.0,Africa,13506559.865092749,0.2276745544916654
84,Guinea-Bissau,18411.0,0.91,6438.0,174.0,1669000000.0,Africa,2023186.8131868131,0.31821085220791917
85,Guyana,275126.0,34.81,37613.0,155.0,4609000000.0,South America,790364.8376903188,4.75894146681884
86,Haiti,66888.0,0.58,24974.0,142.0,9648000000.0,North America,11532413.793103449,0.2165548379380457
89,Hungary,5842885.0,60.65,1057017.0,55.0,177734000000.0,Europe,9633775.762572134,10.971990900043387
90,Iceland,280766.0,81.77,17294.0,106.0,26821000000.0,Europe,343360.6457135869,5.036686707079918
91,India,442136609.0,31.73,34544882.0,5.0,3257720000000.0,Asia,1393434002.5212731,2.4791186333543354
92,Indonesia,94339737.0,34.14,4254815.0,16.0,1208860000000.0,Asia,276331977.15289986,1.539747604977953
93,Iran,46328337.0,54.49,6097672.0,28.0,495694000000.0,Asia,85021723.25197282,7.171898859223029
94,Iraq,4468867.0,10.85,2077665.0,49.0,246932000000.0,Asia,41187714.28571428,5.044380432445181
95,Ireland,3792330.0,76.11,546909.0,32.0,405185000000.0,Europe,4982696.097753252,10.976166101051332
97,Israel,5775598.0,62.16,1341088.0,33.0,403961000000.0,Asia,9291502.574002575,14.433488978976722
98,Italy,44045174.0,72.96,4968341.0,8.0,2090450000000.0,Europe,60368933.66228071,8.22996315918743
